Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,19,15,39,1
1,21,15,81,1
0,20,16,6,2
0,23,16,77,0
0,31,17,40,2
0,22,17,76,0
0,35,18,6,2
0,23,18,94,0
1,64,19,3,3
0,30,19,72,0
1,67,19,14,3
0,35,19,99,0
0,58,20,15,2
0,24,20,77,0
1,37,20,13,3
1,22,20,79,1
0,35,21,35,2
1,20,21,66,1
1,52,23,29,3
0,35,23,98,0
1,35,24,35,3
1,25,24,73,1
0,46,25,5,2
1,31,25,73,1
0,54,28,14,2
1,29,28,82,1
0,45,28,32,2
1,35,28,61,1
0,40,29,31,2
0,23,29,87,0
1,60,30,4,3
0,21,30,73,0
1,53,33,4,3
1,18,33,92,1
0,49,33,14,2
0,21,33,81,0
0,42,34,17,2
0,30,34,73,0
0,36,37,26,2
0,20,37,75,0
0,65,38,35,2
1,24,38,92,1
1,48,39,36,3
0,31,39,61,0
0,49,39,28,2
0,24,39,65,0
0,50,40,55,2
0,27,40,47,0
0,29,40,42,0
0,31,40,42,2
0,49,42,52,2
1,33,42,60,1
0,31,43,54,0
1,59,43,60,3
0,50,43,45,2
1,47,43,41,3
0,51,44,50,2
1,69,44,46,3
0,27,46,51,0
1,53,46,46,3
1,70,46,56,3
1,19,46,55,1
0,67,47,52,2
0,54,47,59,2
1,63,48,51,3
1,18,48,59,1
0,43,48,50,2
0,68,48,48,2
1,19,48,59,1
0,32,48,47,0
1,70,49,55,3
0,47,49,42,2
0,60,50,49,2
0,60,50,56,2
1,59,54,47,3
1,26,54,54,1
0,45,54,53,2
1,40,54,48,3
0,23,54,52,0
0,49,54,42,2
1,57,54,51,3
1,38,54,55,1
1,67,54,41,3
0,46,54,44,2
0,21,54,57,0
1,48,54,46,3
0,55,57,58,2
0,22,57,55,0
0,34,58,60,0
0,50,58,46,2
0,68,59,55,2
1,18,59,41,1
1,48,60,49,3
0,40,60,40,2
0,32,60,42,0
1,24,60,52,1
0,47,60,47,2
0,27,60,50,0
1,48,61,42,3
1,20,61,49,1
0,23,62,41,0
0,49,62,48,2
1,67,62,59,3
1,26,62,55,1
1,49,62,56,3
0,21,62,42,0
0,66,63,50,2
1,54,63,46,3
1,68,63,43,3
1,66,63,48,3
1,65,63,52,3
0,19,63,54,0
0,38,64,42,2
1,19,64,46,1
0,18,65,48,0
0,19,65,50,0
0,63,65,43,2
0,49,65,59,2
0,51,67,43,2
0,50,67,57,2
1,27,67,56,1
0,38,67,40,2
0,40,69,58,0
1,39,69,91,1
0,23,70,29,0
0,31,70,77,0
1,43,71,35,3
1,40,71,95,1
1,59,71,11,3
1,38,71,75,1
1,47,71,9,4
1,39,71,75,1
0,25,72,34,0
0,31,72,71,0
1,20,73,5,4
0,29,73,88,0
0,44,73,7,4
1,32,73,73,1
1,19,74,10,4
0,35,74,72,0
0,57,75,5,4
1,32,75,93,1
0,28,76,40,0
0,32,76,87,0
1,25,77,12,4
1,28,77,97,1
1,48,77,36,3
0,32,77,74,0
0,34,78,22,4
1,34,78,90,1
1,43,78,17,4
1,39,78,88,1
0,44,78,20,4
0,38,78,76,0
0,47,78,16,4
0,27,78,89,0
1,37,78,1,4
0,30,78,78,0
1,34,78,1,4
0,30,78,73,0
0,56,79,35,2
0,29,79,83,0
1,19,81,5,4
0,31,81,93,0
1,50,85,26,4
0,36,85,75,0
1,42,86,20,4
0,33,86,95,0
0,36,87,27,4
1,32,87,63,1
1,40,87,13,4
1,28,87,75,1
1,36,87,10,4
1,36,87,92,1
0,52,88,13,4
0,30,88,86,0
1,58,88,15,4
1,27,88,69,1
1,59,93,14,4
1,35,93,90,1
0,37,97,32,4
0,32,97,86,0
1,46,98,15,4
0,29,98,88,0
0,41,99,39,4
1,30,99,97,1
0,54,101,24,4
1,28,101,68,1
0,41,103,17,4
0,36,103,85,0
0,34,103,23,4
0,32,103,69,0
1,33,113,8,4
0,38,113,91,0
0,47,120,16,4
0,35,120,79,0
0,45,126,28,4
1,32,126,74,1
1,32,137,18,4
1,30,137,83,1
